run,model,condition,valid_python,visible_pass,hidden_pass,task_pass
main-deepseek-coder-6_7b,deepseek-ai/deepseek-coder-6.7b-instruct,baseline,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666
main-deepseek-coder-6_7b,deepseek-ai/deepseek-coder-6.7b-instruct,calm_+1.0,0.3333333333333333,0.0,0.0,0.0
main-deepseek-coder-6_7b,deepseek-ai/deepseek-coder-6.7b-instruct,calm_-1.0,1.0,0.0,0.0,0.0
main-deepseek-coder-6_7b,deepseek-ai/deepseek-coder-6.7b-instruct,desperate_+1.0,0.0,0.0,0.0,0.0
main-deepseek-coder-6_7b,deepseek-ai/deepseek-coder-6.7b-instruct,desperate_-1.0,0.3333333333333333,0.0,0.0,0.0
main-deepseek-coder-6_7b,deepseek-ai/deepseek-coder-6.7b-instruct,frustrated_+1.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333
main-deepseek-coder-6_7b,deepseek-ai/deepseek-coder-6.7b-instruct,frustrated_-1.0,1.0,0.0,0.0,0.0
main-deepseek-coder-6_7b,deepseek-ai/deepseek-coder-6.7b-instruct,patient_+1.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333
main-deepseek-coder-6_7b,deepseek-ai/deepseek-coder-6.7b-instruct,patient_-1.0,1.0,1.0,1.0,1.0
main-qwen-coder-7b,Qwen/Qwen2.5-Coder-7B-Instruct,baseline,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666
main-qwen-coder-7b,Qwen/Qwen2.5-Coder-7B-Instruct,calm_+1.0,1.0,0.6666666666666666,0.3333333333333333,0.3333333333333333
main-qwen-coder-7b,Qwen/Qwen2.5-Coder-7B-Instruct,calm_-1.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666
main-qwen-coder-7b,Qwen/Qwen2.5-Coder-7B-Instruct,desperate_+1.0,1.0,0.6666666666666666,0.3333333333333333,0.3333333333333333
main-qwen-coder-7b,Qwen/Qwen2.5-Coder-7B-Instruct,desperate_-1.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666
main-qwen-coder-7b,Qwen/Qwen2.5-Coder-7B-Instruct,frustrated_+1.0,1.0,0.6666666666666666,0.3333333333333333,0.3333333333333333
main-qwen-coder-7b,Qwen/Qwen2.5-Coder-7B-Instruct,frustrated_-1.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666
main-qwen-coder-7b,Qwen/Qwen2.5-Coder-7B-Instruct,patient_+1.0,1.0,0.6666666666666666,0.3333333333333333,0.3333333333333333
main-qwen-coder-7b,Qwen/Qwen2.5-Coder-7B-Instruct,patient_-1.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333
