prompt_id,stage,emotion,layer,score
start,0,calm,9,0.26856252551078796
start,0,calm,14,0.29139572381973267
start,0,calm,18,0.3132365643978119
start,0,patient,9,0.34103700518608093
start,0,patient,14,0.36475256085395813
start,0,patient,18,0.39804673194885254
start,0,confident,9,0.3427591621875763
start,0,confident,14,0.35739678144454956
start,0,confident,18,0.3787955045700073
start,0,frustrated,9,0.3346010148525238
start,0,frustrated,14,0.3829702138900757
start,0,frustrated,18,0.41302797198295593
start,0,desperate,9,0.30060532689094543
start,0,desperate,14,0.34293484687805176
start,0,desperate,18,0.3679475784301758
start,0,stuck,9,0.3096165657043457
start,0,stuck,14,0.3289080858230591
start,0,stuck,18,0.3434455692768097
start,0,stressed,9,0.26910802721977234
start,0,stressed,14,0.2596644163131714
start,0,stressed,18,0.264460951089859
first_failure,1,calm,9,0.4289257824420929
first_failure,1,calm,14,0.455876886844635
first_failure,1,calm,18,0.46607717871665955
first_failure,1,patient,9,0.49094152450561523
first_failure,1,patient,14,0.5171405673027039
first_failure,1,patient,18,0.523786723613739
first_failure,1,confident,9,0.5143322944641113
first_failure,1,confident,14,0.5484176874160767
first_failure,1,confident,18,0.5507870316505432
first_failure,1,frustrated,9,0.5678985118865967
first_failure,1,frustrated,14,0.6053523421287537
first_failure,1,frustrated,18,0.6168096661567688
first_failure,1,desperate,9,0.5326648950576782
first_failure,1,desperate,14,0.5672890543937683
first_failure,1,desperate,18,0.5724565386772156
first_failure,1,stuck,9,0.5535062551498413
first_failure,1,stuck,14,0.5940266847610474
first_failure,1,stuck,18,0.5929297208786011
first_failure,1,stressed,9,0.4811233878135681
first_failure,1,stressed,14,0.48781758546829224
first_failure,1,stressed,18,0.4827457070350647
repeated_failure,2,calm,9,0.4935685098171234
repeated_failure,2,calm,14,0.4708520174026489
repeated_failure,2,calm,18,0.48844030499458313
repeated_failure,2,patient,9,0.5644076466560364
repeated_failure,2,patient,14,0.5453020930290222
repeated_failure,2,patient,18,0.5586673617362976
repeated_failure,2,confident,9,0.5632367730140686
repeated_failure,2,confident,14,0.5463242530822754
repeated_failure,2,confident,18,0.5622231364250183
repeated_failure,2,frustrated,9,0.6300662755966187
repeated_failure,2,frustrated,14,0.6204601526260376
repeated_failure,2,frustrated,18,0.6475446820259094
repeated_failure,2,desperate,9,0.553118109703064
repeated_failure,2,desperate,14,0.5473747253417969
repeated_failure,2,desperate,18,0.569473922252655
repeated_failure,2,stuck,9,0.6056180596351624
repeated_failure,2,stuck,14,0.59202641248703
repeated_failure,2,stuck,18,0.6086133122444153
repeated_failure,2,stressed,9,0.537500262260437
repeated_failure,2,stressed,14,0.4972371757030487
repeated_failure,2,stressed,18,0.5041029453277588
hidden_tests,3,calm,9,0.4707779586315155
hidden_tests,3,calm,14,0.4335940480232239
hidden_tests,3,calm,18,0.46476539969444275
hidden_tests,3,patient,9,0.47009822726249695
hidden_tests,3,patient,14,0.4537723660469055
hidden_tests,3,patient,18,0.47497230768203735
hidden_tests,3,confident,9,0.5039957165718079
hidden_tests,3,confident,14,0.49399712681770325
hidden_tests,3,confident,18,0.5125489234924316
hidden_tests,3,frustrated,9,0.5254124999046326
hidden_tests,3,frustrated,14,0.5012484788894653
hidden_tests,3,frustrated,18,0.5465416312217712
hidden_tests,3,desperate,9,0.5335881114006042
hidden_tests,3,desperate,14,0.5115242004394531
hidden_tests,3,desperate,18,0.549383282661438
hidden_tests,3,stuck,9,0.5540791749954224
hidden_tests,3,stuck,14,0.5234836935997009
hidden_tests,3,stuck,18,0.5500009059906006
hidden_tests,3,stressed,9,0.5358518362045288
hidden_tests,3,stressed,14,0.5128181576728821
hidden_tests,3,stressed,18,0.5277132391929626
deadline_pressure,4,calm,9,0.5100119709968567
deadline_pressure,4,calm,14,0.4736971855163574
deadline_pressure,4,calm,18,0.49499475955963135
deadline_pressure,4,patient,9,0.5693905353546143
deadline_pressure,4,patient,14,0.5393809676170349
deadline_pressure,4,patient,18,0.5577114820480347
deadline_pressure,4,confident,9,0.5350070595741272
deadline_pressure,4,confident,14,0.5200451016426086
deadline_pressure,4,confident,18,0.5500444769859314
deadline_pressure,4,frustrated,9,0.5550954937934875
deadline_pressure,4,frustrated,14,0.527905285358429
deadline_pressure,4,frustrated,18,0.5619089603424072
deadline_pressure,4,desperate,9,0.5744219422340393
deadline_pressure,4,desperate,14,0.5544776320457458
deadline_pressure,4,desperate,18,0.5831729173660278
deadline_pressure,4,stuck,9,0.5730636715888977
deadline_pressure,4,stuck,14,0.5310938954353333
deadline_pressure,4,stuck,18,0.5525503754615784
deadline_pressure,4,stressed,9,0.5316714644432068
deadline_pressure,4,stressed,14,0.48062863945961
deadline_pressure,4,stressed,18,0.4935409426689148
